zone_id,population_density,real_estate_value,foot_traffic,nearby_competitors,avg_income_level,parking_availability,public_transport_score,geometry,avg_rating,review_count,sentiment_score,social_media_mentions,peak_hours_traffic,strategic_points_score,historical_data,location_change_probability
0,46427,439678,3219,3,79964.77183987282,36,0.4575585615043306,"POLYGON ((100.7059264473612 13.649816047538945, 100.72592644736119 13.649816047538945, 100.72592644736119 13.669816047538944, 100.7059264473612 13.669816047538944, 100.7059264473612 13.649816047538945))",3.9130691409658205,681,0.460068608565171,200,177,12.247400635972447,"{'monthly_revenue': [319544, 430002, 223714, 65151, 494623, 116690, 54499, 56295, 433029, 438215, 371184, 324327], 'customer_count': [1627, 1586, 2648, 2443, 2445, 1103, 4923, 1253, 4298, 4183, 3557, 2496], 'competitor_count': [3, 9, 2, 2, 2, 6, 3, 9, 4, 1, 4, 1]}",1.0
1,19043,379728,8041,1,92976.72117045212,45,0.8175658292015983,"POLYGON ((100.46974693032602 13.880285722563967, 100.48974693032602 13.880285722563967, 100.48974693032602 13.900285722563966, 100.46974693032602 13.900285722563966, 100.46974693032602 13.880285722563967))",3.436880874433667,617,0.8859689734995919,123,88,11.053313635867267,"{'monthly_revenue': [403556, 185059, 108871, 465615, 178391, 489430, 136416, 382415, 356208, 306687, 251163, 157450], 'customer_count': [4954, 1469, 4446, 2045, 3797, 2693, 3085, 3277, 4436, 1562, 3485, 2799], 'competitor_count': [2, 5, 1, 1, 5, 3, 4, 3, 1, 1, 5, 6]}",0.6563095604238048
2,33746,154537,3060,8,73687.10809272862,38,0.2349256846138964,"POLYGON ((100.54607232426761 13.792797576724562, 100.56607232426761 13.792797576724562, 100.56607232426761 13.812797576724561, 100.54607232426761 13.812797576724561, 100.54607232426761 13.792797576724562))",3.8330198957407324,481,0.5466222079909389,186,131,11.819855267081676,"{'monthly_revenue': [228274, 213707, 375352, 345972, 461927, 315564, 408896, 181373, 488452, 165294, 497456, 174019], 'customer_count': [1190, 3300, 1980, 3975, 3006, 2184, 4327, 4394, 1127, 3065, 2816, 2758], 'competitor_count': [6, 3, 8, 8, 2, 6, 7, 2, 2, 1, 8, 1]}",0.7485489574078584
3,27350,390621,6287,8,67784.67433402431,47,0.3063262557093773,"POLYGON ((100.58318092164686 13.739463393678815, 100.60318092164685 13.739463393678815, 100.60318092164685 13.759463393678814, 100.58318092164686 13.759463393678814, 100.58318092164686 13.739463393678815))",4.766560517837736,242,0.31983043974032904,325,153,12.141549975444278,"{'monthly_revenue': [155864, 443002, 259141, 417654, 104748, 55801, 200262, 492905, 285362, 494209, 79592, 322791], 'customer_count': [1524, 3875, 2529, 3950, 4896, 1035, 1684, 1019, 3368, 4847, 3559, 1399], 'competitor_count': [3, 7, 2, 2, 7, 6, 3, 9, 6, 6, 1, 4]}",0.9423851243584356
4,46605,291983,2619,11,60712.12727718374,66,0.7500273115537597,"POLYGON ((100.62803499210852 13.562407456176974, 100.64803499210852 13.562407456176974, 100.64803499210852 13.582407456176973, 100.62803499210852 13.582407456176973, 100.62803499210852 13.562407456176974))",3.648690042010548,701,0.5070427488160099,463,178,12.146929113069506,"{'monthly_revenue': [120313, 439957, 234078, 407429, 458554, 163632, 462724, 301451, 53051, 229819, 426836, 137235], 'customer_count': [1773, 1876, 1991, 3931, 4421, 1046, 3914, 3870, 3983, 4891, 3703, 1268], 'competitor_count': [2, 3, 1, 8, 3, 7, 5, 5, 7, 9, 5, 1]}",0.8371074686427583
5,5117,92533,9512,9,70424.0389634288,36,0.748032882891467,"POLYGON ((100.79258798069651 13.562397808134481, 100.8125879806965 13.562397808134481, 100.8125879806965 13.58239780813448, 100.79258798069651 13.58239780813448, 100.79258798069651 13.562397808134481))",3.2441759094013465,122,0.6806108068208183,348,60,11.684186672617805,"{'monthly_revenue': [378761, 275913, 329040, 442942, 227247, 188877, 55237, 70056, 226615, 237628, 164548, 423632], 'customer_count': [4343, 2212, 1703, 2470, 1580, 3837, 3908, 3294, 4147, 1153, 2679, 4506], 'competitor_count': [5, 6, 9, 5, 1, 4, 5, 5, 7, 4, 1, 5]}",0.384903117472254
6,23935,313972,2342,5,54875.371627287706,64,0.6770328695967676,"POLYGON ((100.49983689107918 13.52323344486728, 100.51983689107918 13.52323344486728, 100.51983689107918 13.54323344486728, 100.49983689107918 13.54323344486728, 100.49983689107918 13.52323344486728))",3.71259567615395,839,0.7084232709328602,258,91,11.459587225589289,"{'monthly_revenue': [338790, 416329, 73049, 260677, 410260, 409523, 118385, 176131, 483374, 246489, 73289, 422370], 'customer_count': [3489, 2631, 3816, 2015, 2348, 1515, 4087, 3839, 1335, 2782, 3305, 1496], 'competitor_count': [4, 8, 2, 3, 1, 1, 3, 5, 3, 1, 1, 8]}",0.5291149601318209
7,18234,51917,3832,14,57403.747714105135,42,0.72455360002039,"POLYGON ((100.65711721920681 13.846470458309975, 100.6771172192068 13.846470458309975, 100.6771172192068 13.866470458309974, 100.65711721920681 13.866470458309974, 100.65711721920681 13.846470458309975))",4.813656883091508,506,0.6185607499902819,147,148,11.827024727205352,"{'monthly_revenue': [381593, 132986, 201836, 158940, 350638, 315517, 193233, 147532, 404802, 435777, 150386, 77350], 'customer_count': [3896, 1089, 1775, 3652, 4993, 4017, 2625, 4069, 1417, 1114, 1616, 4974], 'competitor_count': [4, 5, 2, 8, 4, 9, 5, 9, 4, 5, 9, 8]}",0.0
8,43328,332762,3824,3,67230.02357817217,77,0.5884519990128366,"POLYGON ((100.69620728443103 13.740446004697283, 100.71620728443102 13.740446004697283, 100.71620728443102 13.760446004697283, 100.69620728443103 13.760446004697283, 100.69620728443103 13.740446004697283))",3.5442644987692704,451,0.568669898743855,251,56,12.207519895870583,"{'monthly_revenue': [359439, 164352, 395186, 135999, 67955, 349985, 120640, 246582, 478127, 269798, 450573, 475695], 'customer_count': [1036, 4851, 4440, 4766, 2548, 3326, 3264, 3914, 1872, 2821, 2296, 4952], 'competitor_count': [4, 9, 6, 3, 1, 4, 9, 3, 9, 7, 4, 3]}",0.6600918086180663
9,5846,82254,2994,5,34663.337867357186,95,0.3266191530162575,"POLYGON ((100.42322520636 13.783229031118418, 100.44322520636 13.783229031118418, 100.44322520636 13.803229031118418, 100.42322520636 13.803229031118418, 100.42322520636 13.783229031118418))",4.295380241082725,573,0.6317358534427968,442,193,11.202799936045649,"{'monthly_revenue': [55486, 189407, 399044, 176020, 152795, 270184, 192202, 399652, 287027, 168324, 372710, 247775], 'customer_count': [3616, 2062, 3156, 4764, 2065, 2209, 3982, 3445, 4294, 1633, 2156, 4234], 'competitor_count': [7, 2, 9, 1, 6, 7, 8, 9, 2, 2, 5, 5]}",0.27450407747797234
10,15954,311987,4490,5,46031.777364735746,75,0.4111263941535275,"POLYGON ((100.70377242595073 13.50823379771832, 100.72377242595073 13.50823379771832, 100.72377242595073 13.52823379771832, 100.70377242595073 13.52823379771832, 100.70377242595073 13.50823379771832))",3.0010407539906314,277,0.6556180343276361,419,139,11.716949845203157,"{'monthly_revenue': [366837, 339106, 78295, 63807, 485564, 207504, 288067, 483478, 218152, 444540, 403411, 216981], 'customer_count': [4323, 4486, 2810, 3492, 3923, 2205, 3214, 1090, 1713, 2881, 4602, 1038], 'competitor_count': [3, 2, 4, 8, 9, 7, 1, 3, 9, 1, 9, 8]}",0.5752003041697308
11,18703,417436,8984,19,67999.45174293863,19,0.2634379451212831,"POLYGON ((100.48526206184366 13.887963940864799, 100.50526206184365 13.887963940864799, 100.50526206184365 13.907963940864798, 100.48526206184366 13.907963940864798, 100.48526206184366 13.887963940864799))",3.7051377126683382,519,0.34851199579962916,402,161,11.077677755817664,"{'monthly_revenue': [263920, 415477, 292804, 426965, 348539, 179695, 465916, 346764, 284286, 178148, 332703, 405540], 'customer_count': [1202, 3811, 2252, 2699, 2250, 2682, 2555, 4512, 4473, 3094, 2256, 4376], 'competitor_count': [1, 5, 6, 6, 3, 7, 9, 8, 6, 8, 5, 8]}",0.6083933363865244
12,27700,97362,2604,14,60206.97001955098,14,0.9176055052002655,"POLYGON ((100.43252579649264 13.83297705632017, 100.45252579649264 13.83297705632017, 100.45252579649264 13.852977056320169, 100.43252579649264 13.852977056320169, 100.43252579649264 13.83297705632017))",3.609562516316058,816,0.5217926736368427,345,109,11.088619286032497,"{'monthly_revenue': [59337, 96427, 373673, 414167, 396809, 155787, 212993, 345451, 470571, 177016, 316979, 70159], 'customer_count': [2946, 3549, 4006, 4216, 2224, 1928, 3036, 4795, 3508, 3779, 3799, 1924], 'competitor_count': [3, 6, 2, 3, 5, 9, 2, 8, 2, 5, 7, 8]}",0.05378591023042535
13,37043,332272,1235,4,53297.1050138739,83,0.6250526152895084,"POLYGON ((100.87444276862668 13.58493564427131, 100.89444276862667 13.58493564427131, 100.89444276862667 13.60493564427131, 100.87444276862668 13.60493564427131, 100.87444276862668 13.58493564427131))",3.3293117062858837,395,0.44529596296645557,450,162,11.295859620556365,"{'monthly_revenue': [111813, 77712, 150497, 451631, 292926, 162816, 178778, 112292, 335977, 185230, 243752, 332453], 'customer_count': [3874, 3842, 1688, 2484, 2633, 3152, 4170, 1510, 1384, 1404, 3870, 1517], 'competitor_count': [1, 5, 5, 6, 3, 5, 7, 5, 5, 5, 3, 1]}",0.6076477170638871
14,11469,435925,2908,13,81138.4395766511,47,0.46076627508727597,"POLYGON ((100.88281601653729 13.572729986882841, 100.90281601653729 13.572729986882841, 100.90281601653729 13.59272998688284, 100.88281601653729 13.59272998688284, 100.88281601653729 13.572729986882841))",4.0681788387508835,396,0.7818838538279376,146,51,11.199608685423023,"{'monthly_revenue': [499613, 433432, 88765, 478032, 357250, 366076, 460316, 369235, 71949, 251152, 349888, 226615], 'customer_count': [2823, 3081, 4419, 3142, 4143, 2574, 3201, 1249, 1673, 1437, 3165, 1770], 'competitor_count': [2, 1, 6, 5, 9, 1, 7, 5, 5, 2, 3, 7]}",0.9631507093490635
